"","hclust","pam","kmeans"
"1",3.3,9.6,4.1
"2",4.3,3.7,2.6
"3",5.6,4.9,5.3
"4",6,4.1,2
"5",7.4,6.7,4.8
"6",8.7,10.4,6.7
"7",8.6,8.9,9.4
"8",10.9,8.4,6.2
"9",7.8,7.8,7.1
"10",9.2,9.7,7.9
"11",9.5,10.3,10.4
"12",11.9,13.4,9.8
"13",11.8,11.3,10
"14",13.6,10.8,13.2
"15",14,13.2,12.4
"16",11,12.6,13.3
"17",14,14.3,12.3
"18",11.2,14.1,13.9
"19",11,14,13.6
"20",12.4,13.7,13.6
"21",8.4,15,13.2
"22",8.1,14.6,14.5
"23",7.2,14.5,12.7
"24",8.3,14.5,14.1
"25",5.6,14.7,13.1
"26",4.5,14.1,14.7
"27",3.3,14.9,14.7
"28",4.5,14.8,14.2
"29",3.3,14.9,13.9
"30",2,15,14.1
"31",2,14.7,14.7
"32",2.1,14.8,14.5
"33",2,13.5,14.2
"34",2.2,15,13.1
"35",2.3,11,10.2
"36",2.3,9.5,9.4
"37",2.1,10.7,7.8
"38",2.3,7.5,7.9
"39",2.4,6.5,7
"40",2.3,4.9,4.4
"41",2.1,4.7,7.1
"42",2.4,5.1,4.4
"43",2.2,6.4,5.9
"44",2.1,8.6,8.2
"45",3.4,7.5,7
"46",2.3,8.8,7.9
"47",4.9,7.3,6.8
"48",2.3,9.9,9.5
"49",2.2,10,9.7
"50",2.9,8.5,3.8
