"","hclust","pam","kmeans"
"1",8.5,11,9.8
"2",8.5,10.3,9.1
"3",8.2,8,7.5
"4",9.4,10.3,7.6
"5",10.1,8.7,7.4
"6",12.5,12.1,11.3
"7",11.3,11.1,10.5
"8",10.3,11.5,12.5
"9",12.8,10.7,11.5
"10",11.1,13.6,13.2
"11",12.8,12.4,9.3
"12",13,13.3,13.6
"13",12.7,12.8,13.6
"14",12.9,14.1,12.9
"15",14.3,14.2,13.6
"16",11.6,14.6,14.2
"17",10.1,14.8,13.9
"18",11.8,13.6,14.2
"19",12.4,14.4,13.4
"20",8.4,14.6,14.7
"21",11,14.7,14.5
"22",8.3,14.8,13.2
"23",4.6,14.6,13.7
"24",10.9,14.9,14.3
"25",4.6,14.8,13.9
"26",3.1,14.4,13.4
"27",3.2,14.8,14.4
"28",3.3,14.8,14.2
"29",3.3,14.9,14.2
"30",3.3,14.8,14.2
"31",2.2,14.8,14.2
"32",2,14.6,13.1
"33",2,12.1,13.2
"34",2.1,12.4,11.7
"35",2,9.5,12
"36",2.3,11.1,9.3
"37",2.6,4.7,6.8
"38",2.7,4.8,7.2
"39",2.4,5.8,4.5
"40",2.3,5,5.5
"41",2.1,4.9,4.6
"42",2.7,5.2,5.8
"43",2.1,7.5,6.8
"44",2.3,6.3,5.8
"45",2,7,7.1
"46",2,8.5,8.3
"47",2,9.8,9.4
"48",2.2,12.4,12.1
"49",3.3,12.4,12.1
"50",2,12.5,8.5
