"","hclust","pam","kmeans"
"1",9.1,11,10.3
"2",10.6,10.1,11.2
"3",10,11.6,9.5
"4",11.6,10.9,9.3
"5",12.9,11.5,13.2
"6",11.4,10.7,9.8
"7",12.7,12.6,12.5
"8",13.3,12.8,12
"9",11.3,12.9,10.2
"10",10,12.6,11.9
"11",12.2,14.1,12
"12",12.9,13.3,11.9
"13",14.8,12.6,13.5
"14",13.2,13.9,12.4
"15",9.4,13.2,13.5
"16",13.9,14.4,13.3
"17",7.9,14.4,13.7
"18",11.8,14.1,13.1
"19",12.8,14.1,14.6
"20",9.5,15,14.1
"21",3.3,14.7,13.6
"22",7.2,14.8,14.4
"23",3.3,14.7,14.3
"24",8.3,14.9,13.7
"25",5.8,14.7,13.5
"26",3.9,14.7,14.5
"27",3.2,14.9,14
"28",2,14.9,14.3
"29",2,14.6,14.5
"30",2,14.8,14
"31",2,13.6,14.1
"32",2,12.2,11.9
"33",2.2,11,10.7
"34",2,12.4,10.5
"35",2,13.6,7.2
"36",2.3,7.4,5.6
"37",2.5,7.3,4.3
"38",2.6,4,3.3
"39",2.2,4.2,4.4
"40",3.1,4.3,4.6
"41",3.2,4.6,3.3
"42",2.7,3.8,3.3
"43",3,4.6,3.4
"44",2.8,2.7,2
"45",2.7,2.6,2
"46",2.4,5,4.7
"47",2.3,5,4.8
"48",2.2,6.1,5.9
"49",2.1,7.3,7
"50",2.1,3.2,3.3
