"","hclust","pam","kmeans"
"1",5.5,12.3,10.2
"2",5.8,9.6,8.5
"3",5.5,6.6,9.8
"4",6.4,7.6,9.8
"5",6.6,8,10.5
"6",7.8,7.6,6.8
"7",8.2,9.5,8.4
"8",8.1,9.6,12.7
"9",11.2,11.4,9.9
"10",11.3,10.4,12.1
"11",9.8,10.8,11.5
"12",11.6,11.7,11.2
"13",13.8,14.8,13.5
"14",13.2,13.8,14.2
"15",12.2,14.1,13.1
"16",13.2,13.7,14.3
"17",10.8,14.5,14.3
"18",12.2,13.2,13.5
"19",13.2,14.9,14.3
"20",9.3,13.3,13.8
"21",13,14.8,14.1
"22",7.2,14.6,13
"23",8.1,13.7,14.3
"24",13.1,14.6,13.4
"25",5.9,14.7,14
"26",3.3,14.8,13.7
"27",3.3,13.9,14.2
"28",4.5,14.8,14.2
"29",3.2,14.8,14.3
"30",2,14.8,14.6
"31",3.3,14.6,14.5
"32",2,14.3,14.4
"33",3.4,13.5,14.5
"34",3.3,11.9,14.1
"35",2.1,14.8,14.2
"36",2.1,14.8,14.3
"37",3.5,9.4,10.6
"38",2,9.3,12.3
"39",3.2,11,12
"40",2.3,9.5,9.5
"41",2.1,11.1,12
"42",3.2,11,12.3
"43",2,9.7,13.3
"44",2,9.7,9.5
"45",2,15,14
"46",3,13.7,12.9
"47",2,14.9,14.3
"48",3.3,14.9,14.5
"49",2,15,14.8
"50",2,11.7,9.6
