"","euclidean"
"1",0.41148025560426
"2",0.512388114323618
"3",0.537402319995854
"4",0.540143399387281
"5",0.547601131591536
"6",0.559357408683146
"7",0.553116934022154
"8",0.549849016406946
"9",0.554845682977768
"10",0.559503418486869
"11",0.555405264985312
"12",0.558303060466185
"13",0.565757571862919
"14",0.5688974198428
"15",0.563495698045389
"16",0.578412548116786
"17",0.570363736803636
"18",0.571581743120268
"19",0.575956360149521
"20",0.571882586489216
"21",0.567466060916588
"22",0.562876308977857
"23",0.558277094464996
"24",0.55835218820878
"25",0.555707798037747
"26",0.545057300384162
"27",0.552787845201718
"28",0.553533881653226
"29",0.548772553912969
"30",0.534838523848985
"31",0.530503513275315
"32",0.53043835212916
"33",0.528431208220992
"34",0.520164556123614
"35",0.524946318046143
"36",0.547064428914886
"37",0.543904703009723
"38",0.557019853838621
"39",0.5697998137174
"40",0.590068094504516
"41",0.608415820785341
"42",0.635989550648343
"43",0.637579415736213
"44",0.642382454063711
"45",0.64549226773736
"46",0.629638556973141
"47",0.615458909214201
"48",0.586106662626424
"49",0.57167375031133
"50",0.487461301405294
