"","euclidean","manhattan","maximum"
"1",0.447280924791918,0.456302221597426,0.459384216286094
"2",0.613962109721544,0.62342718793497,0.614639500205637
"3",0.643605241362132,0.651879027383281,0.641881077000526
"4",0.654479079247787,0.667304725768134,0.650971994043297
"5",0.6559215073136,0.667750280194165,0.655937325985689
"6",0.666818234548198,0.67660099043196,0.665421143312691
"7",0.664730552516748,0.678065217098015,0.662950711209755
"8",0.660720823673736,0.670341934411792,0.659452975572984
"9",0.664386777408585,0.675435178163746,0.664405488837117
"10",0.665637584591546,0.673782297344968,0.666056815704624
"11",0.662697626020471,0.671496203739395,0.662494091979094
"12",0.665136505783274,0.671362477125704,0.666420223713587
"13",0.663472291071551,0.666384812014015,0.666086613153402
"14",0.670344154299685,0.676621693272992,0.669393185984883
"15",0.666198908826414,0.670672014889973,0.66732704675995
"16",0.677724530053315,0.681006259304278,0.679331006932878
"17",0.670969297068746,0.67268366828329,0.674368118688228
"18",0.672012220516932,0.673715724409098,0.671753859927889
"19",0.668971226518999,0.669440498787737,0.672313263278449
"20",0.672484153495414,0.668744479637767,0.677415940406348
"21",0.666254593999805,0.665333666471575,0.674173316486935
"22",0.652226405589477,0.649287478153529,0.662357757844151
"23",0.648321914183801,0.647992767219229,0.657312548740261
"24",0.644799201746546,0.639311576757301,0.657697726040318
"25",0.643091895656387,0.638998446081101,0.655419848073199
"26",0.628289410183165,0.625423885347768,0.645340007717901
"27",0.632490322171939,0.632065097971522,0.648720232072042
"28",0.631058883060636,0.627129429187572,0.650108018948989
"29",0.627177325423586,0.619530078596256,0.651446236185752
"30",0.604970643568309,0.601407111396294,0.632772127321278
"31",0.60014433912414,0.595393766167496,0.623813398354778
"32",0.598967568268271,0.59045265209306,0.627933973385509
"33",0.594304140179764,0.590322761327862,0.637310238604288
"34",0.585807752608226,0.578430608158183,0.62616751587049
"35",0.591225739776114,0.583327756022464,0.643592402655742
"36",0.603251943799569,0.596888381068179,0.654583051238898
"37",0.608641647038618,0.594707880617693,0.662168793179761
"38",0.618784359039412,0.597724684758731,0.689376813411116
"39",0.628907543138626,0.608862342986121,0.68784999886002
"40",0.650062099483343,0.621887709857377,0.706137261149744
"41",0.662752028612556,0.628972488611993,0.720072117460636
"42",0.673928295840312,0.655555352128708,0.729063436663822
"43",0.685652393496726,0.65435261911814,0.723646790362519
"44",0.678498041930925,0.653432538422877,0.727878725979498
"45",0.688895324437001,0.670582209304491,0.728126196562993
"46",0.670176727253524,0.665327577545779,0.716086438953986
"47",0.654791695034713,0.648182887514621,0.691476300202789
"48",0.629009577107316,0.62904826670296,0.659266832629146
"49",0.61931092541565,0.619643320499283,0.644174409919073
"50",0.542117845185589,0.584370061346619,0.56096849041117
