"","hclust","pam","kmeans"
"1",3.4,10.2,2
"2",3.8,4.8,3.3
"3",4.7,4.3,2.9
"4",4.7,5.3,3.1
"5",6.3,7.8,4.1
"6",8.3,6.6,5.6
"7",7.9,9.2,8.4
"8",7.7,7.9,6.2
"9",10.2,8.5,9.3
"10",9.6,11.2,10.9
"11",11.4,12.1,10
"12",12.7,12.2,12.4
"13",10.5,12.2,12.9
"14",12.7,12.7,12.7
"15",13.1,14.1,11
"16",13.7,12.6,11.4
"17",10.1,13.6,12.5
"18",12.4,13.7,13.1
"19",11.9,14.3,13
"20",12.3,13.9,13.6
"21",12.6,14.7,14.1
"22",11.1,14.3,13
"23",11.7,14.3,14.1
"24",7.2,14.6,14.1
"25",5.8,14.3,14.1
"26",7.2,14.9,13.8
"27",7.1,14.2,13.4
"28",7.1,14.8,13.9
"29",2,14.9,14.2
"30",3.3,14.8,14.6
"31",3.2,14.9,14.2
"32",2,13.2,13.1
"33",2,12.4,13.8
"34",2,14.7,14.1
"35",2.1,12.3,13
"36",2.1,13.7,12.8
"37",2,10.7,13.1
"38",2,10.7,10.9
"39",3.4,7.3,13.1
"40",2.1,7.3,9.6
"41",2,8.5,10.8
"42",3.3,14.8,14.2
"43",3.3,12.4,12.9
"44",2,13.7,11.7
"45",2,12.3,11.9
"46",2,14.9,14.3
"47",3.3,15,14.7
"48",2,13.7,14.3
"49",3.3,13.7,12.7
"50",7.1,8.2,6.8
