"","hclust","pam","kmeans"
"1",3.6,9.2,5.6
"2",5.4,5.7,6.5
"3",7.1,7.5,8
"4",8.8,7.7,9.4
"5",10.5,12.3,11.4
"6",7.3,10.8,7.4
"7",11,11.9,10.2
"8",10.9,12.2,11.7
"9",10.8,11,11.9
"10",10.7,9.5,8.4
"11",12.1,10.8,13.3
"12",12.9,11.3,10.5
"13",14.8,14.4,12.7
"14",14.3,13.9,12.3
"15",12.1,13.8,13.5
"16",13.9,13.9,13.2
"17",14.3,13.9,12.9
"18",11.6,13.4,11.5
"19",11.7,14.4,12.9
"20",12.3,14.8,13.2
"21",10.6,14.3,14.2
"22",4.6,14.3,14.1
"23",4.6,14.1,13.3
"24",3.4,15,14
"25",2,14.6,14.2
"26",4.6,14.8,13.7
"27",6.6,14.7,13.7
"28",3.3,14.6,14.4
"29",2,14.7,13.5
"30",2,14.2,13.9
"31",2.1,14.7,14
"32",2.1,14.9,14.3
"33",2.2,14.6,14.1
"34",2.1,12.1,14.6
"35",2.1,12.5,13.5
"36",2.1,9.9,9.2
"37",2.1,9.6,11
"38",2.3,9.6,10.5
"39",2,9.8,9.7
"40",2.5,4.7,7.1
"41",2.4,3.5,5.8
"42",2.2,8.6,8.3
"43",2,4.6,6.9
"44",2,7.2,8.3
"45",2.2,8.7,8.2
"46",2,7.3,8
"47",2,8.4,9.5
"48",3.3,9.8,9
"49",2,13.7,13
"50",2.3,11,5.7
