"","hclust","pam","kmeans"
"1",2.8,9,2
"2",4.9,7.4,4.5
"3",4.7,6.7,5.9
"4",7.2,8.7,5.7
"5",7.4,8.2,5.7
"6",7.3,6.6,5.7
"7",10.3,9.8,7.4
"8",9.4,9.1,7.1
"9",10.4,10.7,8.7
"10",11.1,11.8,11.3
"11",11.6,11.1,12.3
"12",12.2,12.7,10.6
"13",12.9,13.1,12.7
"14",13.9,12.5,13.3
"15",12.3,13.8,11.6
"16",13.4,14.5,12.9
"17",13.7,14.2,14.4
"18",12.7,14.2,13
"19",7,14.5,12.8
"20",11.8,14.8,13.8
"21",10.7,14.7,13.2
"22",7.5,14,14.2
"23",8.4,14.6,14.1
"24",3.3,14.9,14
"25",8.2,14.8,13.9
"26",7,14.8,13.7
"27",5.9,14.6,13.8
"28",5.6,14.8,13.8
"29",3.3,12.7,14.4
"30",3.3,14.8,14
"31",2,14.6,14
"32",3.3,14.5,14.4
"33",2,13.7,13.6
"34",2.1,14.9,12.6
"35",2.4,14.9,14.3
"36",2.1,12.4,13.7
"37",2.1,12.2,11.9
"38",2.1,9.6,12.9
"39",2,10.5,11.1
"40",2.1,9.7,10.9
"41",2.1,12.3,13
"42",3.4,8.6,8.2
"43",2,11,11
"44",2.1,11.2,10.4
"45",2,10.7,10.8
"46",3.2,12.2,12.1
"47",2,12.4,12.2
"48",2,15,14.3
"49",3.3,15,14.1
"50",2.6,11.1,12.2
